,tweets
40,Totalitarianism in Canada is but mild example for what lies ahead for all in America: but 10xworse thru every possi… https://t.co/D0gRmgxBY4
41,✨a brief history on police brutality✨i will put my heel through your skull
42,"Ilhan Omar Tweets about Police Brutality- Castile, Floyd, Wright, Clark all happened in her district. Maybe she sho… https://t.co/mOBEZtw198"
43,"Check out Aminah's video! #TikTok https://t.co/Tqw9bq4sv5

Police brutality alert"
44,@NYPDShea We are coming together.. Against you and the police brutality you continue to be complicit in.
45,@jerrydunkley2 @fortjackson @RCSD @PaulFunk2 @TradocDCG Protect a minority! Video record cops and soldiers. Every t… https://t.co/9vpO3gDVqn
46,"Sadly, there is no Oscar nominee more timely than @TwoDistantFilm, a live-action short about police brutality. I sa… https://t.co/wifoHupQfv"
47,i really wonder what Cop Defenders think about the fact that people have been protesting non-stop against heavily m… https://t.co/PCE1DCqsiP
48,"// police brutality , child death https://t.co/m4SGk8DvrS"
49,"@FoxNews @CNN @ChrisCuomo What a simplistic stupid comment.  Why not include,  Black people will stop looting durin… https://t.co/ldIi6zRqjJ"
50,The people never stop paying for the police brutality and wrong doing the people of the state is still paying for h… https://t.co/Il6AZZP6VI
51,@hugolowell @StevenBaldus Do you think the Senate will draft up legislation that will combat police brutality again… https://t.co/gUpE4iDKhj
52,"Sat Oct 03 2020 Seattle, Washington - Police shove, shoot at, and arrest protesters WATCH: https://t.co/dX4jRcIwXg… https://t.co/DHtkO45Wpu"
53,Richard Wright’s novel of police brutality: The most relevant book of 2021 was written 80 years ago https://t.co/5HH7DC4mU4
54,"there have been 147 mass shootings in the US in 106 days, police brutality is fucking rampant, laws are being passe… https://t.co/0TaudLAASm"
55,Guess what? Police brutality is not new. Race-based violence is as American as apple pie. Stop being shocked and do… https://t.co/zUAM5OTwbf
56,"tw // police brutality 

my father is a certified bastard and i just had to listen to him try n “see both sides” of… https://t.co/QJBaxkGKhX"
57,@CreamPieJones Riots will continue happening so long as police brutality is there (thing is people need to realize… https://t.co/d70tE3PUO1
58,@CBSNews Police brutality is common throughout the world and something that all people can relate to #BLM. #LatinoLivesMatter
59,like yes people who are protesting police brutality are not terrorists while someone breaking and entering federal… https://t.co/Z6QKoFZlRW
60,@TheQueenMrs @ObiJoseph13 @iamcardib The republikkklans have yet to say one word about police brutality.
61,This is an erroneous statement. More white people are killed by police brutality than blacks. The real reason why n… https://t.co/DPY5jKGcMx
62,"Finished my website on reference materials for police brutality! 

Now I have to write the paper about the website I just made"
63,@WakandanGriot @JimDandyMD @whamm5311 @ProjectLincoln Yes I have seen this a lot—people using the photos of black a… https://t.co/OMitCXjE73
64,"cw: police brutality at chicago protests, injury to a minor
.
.
.
.
.
.
.
.
.
. https://t.co/js5xIMYaw1"
65,"@zoerandall145 @MrAndyNgo @TimRunsHisMouth @OPB Cops are killing innocent people and they want that to stop, so the… https://t.co/NEgnVTji1z"
66,This breaks my heart how they could treat this 73-year-old woman. She was no threat to them. Between the gun proble… https://t.co/FAvI00WzNp
67,"Tricky dicky 

BLM movement really walks itself into a troubled position with its 'we're not discounting white or b… https://t.co/OcUBKn4Ei0"
68,@Jarrett_Bryant @MadisonSiriusXM The media and the JMs of the world like to promote racial controversy because for… https://t.co/FQDCXVtUI1
69,@YouthALIVE510 @SenatorLeyva @BettyYeeforCA @chesaboudin @safeandjust @ProsAlliance I’ve contacted CA Victims Board… https://t.co/eL4Hr8zL7g
70,"Until the ""good"" apples start speaking up and doing something about police brutality and murder of people of color,… https://t.co/p5iEqsIWWb"
71,that’s because they stopped showing real black culture. Representation really went down. Now everything is about ra… https://t.co/miuUK2qNTE
72,"// guns , police brutality , death

i feel like people forget that police officers are not meant to kill people ??… https://t.co/FHA5VdmLAO"
73,"Mid-16th century, over decades (against corruption, police brutality, inefficiencies"
74,@DonaldJTrumpJr I wonder if this covid-19 stay at home was a way to brainwash for a year and a half about CNN agend… https://t.co/fEDkaugGv8
75,"Another night. Another protest for #DaunteWright

Again I’m bad at estimates... hundreds are here undeterred by pol… https://t.co/Tj7jHhLh5E"
76,@zei_squirrel @samira6868 For the majority in Iran the BLM protests were the first time they actually solidified th… https://t.co/VV3mPtERoO
77,"Oh yeah, didn't I mention said terrorist is still out there on the loose? Who's to say he won't suddenly show up wi… https://t.co/ACsQuyuY9t"
78,"police brutality //
.
.
.
.
.
i still can’t believe adam toledo was only 13 there was no reason he had to die, poli… https://t.co/ynImZFg2aC"
79,“All police do not have to be bad for the system to be violent and unjust ... We do not seek an equity in how the b… https://t.co/PcDEsJ6346
80,25 Ways to Stop Police Brutality https://t.co/OwMdrW41Ol https://t.co/Xb2CCfCzcc
81,@telltaleatheist The last 2 years have been a real eye opener for me about police brutality so i think they're prob… https://t.co/YEDiQiFgoo
82,"Americans in this fucking Space bro 😂😂😂😂 dude frm Houston? Mfers know police brutality, first hand bro. Bitch?… https://t.co/y3eEgv9lbs"
83,"@silentblackcat_ Because Target &amp; Apple are clearly the ones responsible for police brutality.
Say what you will ab… https://t.co/JDWWKtLNdd"
84,Police be solving police brutality with more police brutality
85,@TheLunchador @agvolzwriter @AndreasHale @Axelfuenzalida3 This is know and he's since apologized multiple times for… https://t.co/cSuWeXYKsM
86,"@snarkgrapefruit 🔥🔥🔥

The amount of privilege to say, 'I only care about my own life, that's why I don't tweet abou… https://t.co/uZSxtDkEga"
87,@DanielleDorian @Vic_Moore901 @patiencezalanga I’m assuming from your profile you don’t live in the twin cities. Wh… https://t.co/BtRfcQrUPF
88,Why does this keep happening? Why are there so many videos of police abuse and brutality? https://t.co/fX8VFLUS76
89,"@JuliusGoat Well it works in other countries. 2 years minimum police academy, police apprenticeships, 3 year traini… https://t.co/pwo5bLsOzA"
90,Americans Protested against police brutality in U.S. Oakland https://t.co/9bF8I0zDXS via @The London Post
91,"First of all what a weirdo statement to make

Secondly, WHITE PEOPLE ARE VICTIMS OF POLICE BRUTALITY TOO!! And y’al… https://t.co/RuYM3umo47"
92,"LDF's @PuneetCheemaDC, Manager of our Justice in Public Safety Project, shares important advice on:
 
☑️ What you s… https://t.co/XQi7eDeqdk"
93,I am delighted every time some one acknowledges the role  he played and the sacrifice that Colin Kaepernick made to… https://t.co/izMhRV3gTa
94,White people discovering police brutality. https://t.co/dzpmdZXQmZ
95,"@Alexand3rTheMeh @NowItsOurTurn1 So, they learned nothing at all (because police brutality is hardly new)."
96,Richard Wright's 1940s book on police brutality was too much to publish then — but it's coming out now https://t.co/eacCIEsGBM #SmartNews
97,you guys should start tagging police brutality and attacks against people of color because as a black latine person… https://t.co/27TCRDlt5z
98,"// tw police brutality??? 

y’all have ruined me. every time i read adam toledo’s name in the news, another totally… https://t.co/p2fEpQfhWE"
99,"@JackPosobiec Republican porn!

You'd love to sensor/cancel the videos of police brutality or probably not 🍆💦💦"
100,"So if this is how journalists are treated how can people not believe charges of police brutality?

https://t.co/ugJcNNFoR8"
101,@NonExtremist @DaveBravo @YoureWrongDummy @SenSherrodBrown 2/ no all suspects are going to behave in the same way s… https://t.co/CJ1VXjtFpy
102,"@Mahhhlon @thejasonmarino @TheCovidKid3 @jd84722 @FoxNews Yes, if somebody said “nobody is ever a victim of police… https://t.co/qIpIu7Ensr"
103,@Stalliou Obviously what happened to him was a tragedy but what Muslims in other countries are suffering is 1000x w… https://t.co/IEC93t9PIH
104,We decided to hex Derek Chauvin and his legal team. While it burned we held a 9 minute moment of silence for George… https://t.co/FS3wDKOV2G
105,"""no no no, It's only police brutality when it's done to me. Everyone else must comply""."
106,"Capitalism, white supremacy, and police brutality seem to be that three-legged chair called inhumanity and greed. https://t.co/03BnWnVh0z"
107,@blkoutcoalition @Bakari_Sellers I see the looting as being a problem as it distracts from the main issue of police… https://t.co/DPbuV7X28q
108,"@diz219 @feelintheazheat @McKaylaRoseJ I would suggest you are naive and uninformed 

Police brutality is not unity… https://t.co/16wdXHkabs"
109,"@Adampsychology2 @Arshadawansaifi @ImranKhanPTI Appreciate you concern about police brutality, but misguide i don't… https://t.co/7zhOkKiPSN"
110,"To BLM. Nothing to do with racism. If you still think it does, ask yourself how did it go from police brutality, to… https://t.co/bt61xWYGKW"
111,"this is what I imagine happens most of the time before viral videos of ""police brutality"" or ""anti-black hate crime… https://t.co/NOQnaBgujS"
112,"From Daunte Wright to Adam Toledo, we must find ways to end police brutality | REVOLT BLACK N.. https://t.co/q7oWRORxTy"
113,"TW: police brutality, mentions of mild medical conditions

12 isn’t going to keep getting away with this shit. Plea… https://t.co/2UamjNrh5Y"
114,"@zei_squirrel If I confronted the enormity of the horrors of it every single time, I wouldn't have time for anythin… https://t.co/GbHWDbpJHb"
115,@AsIfIHadWings I’m white &amp; this may not mean much coming from me but I’m absolutely livid about the infuriating rac… https://t.co/0zFmuEuoqS
116,@IMDibe @JohnnyAkzam True. But apparently for some folks it's only a problem when they finally see that police brut… https://t.co/CoH2iJp3D1
117,"@secularprolife well, pro-life is opposition to anything that ends human life, including abortion, euthanasia, poli… https://t.co/ImM6R66aNI"
118,@VoLinxx If schools have to do this for every African American victimized by police brutality.... Distance learning… https://t.co/E7L7KElHZz
119,@organicfanatic5 @JohnnyAkzam @IMDibe It's not a contest. It's a problem if we only can understand the impact of po… https://t.co/oFor2mOdRD
120,@RainbowOfRed They should dissolve that police department &amp; build another from ground up. Officers would have to re… https://t.co/0K4fU3fYuL
121,"TW: Police brutality, murder 

With the ongoing protests in the United States, I know these nonsense arguments are… https://t.co/RBOBVNTngC"
122,"@joshscampbell ""We who in engage in nonviolent direct action are not the creators of tension. We merely bring to th… https://t.co/pdDq2MLvaC"
123,Show up Tuesday evening to join with the educators of Brooklyn Center to denounce police brutality! ✊🏿… https://t.co/rgHYxmsILW
124,how is russia more aware of police brutality than the us government 😭 https://t.co/0dWyixGZDf
125,"@FletchFFletch4 @MonicaVanzant @BreeNewsome We have also Demonstrations but we have Gun Controll laws, the big diff… https://t.co/TiWBvsDT8g"
126,@Molson691 @retiredknitwit Actually before Trump I was a conservative. After watching the USA implode &amp; the lies. I… https://t.co/WYUoIh3OSe
127,@allarebananas Well there currently is a lawsuit for police brutality and excessive force. If you wanted to help th… https://t.co/kTv0U1OVQf
128,I’m sick of the narrative that black men can prevent their own deaths by police brutality “if you just...” https://t.co/ELn5QzNuOF
129,rewatching girlfriend and realized how lucky we are thanks to the internet how readily and easily accessible inform… https://t.co/lqRssyEAQb
130,@MDVancleave I’m so sorry. Ty for risking ur own safety to cover these horrifying displays of police brutality in t… https://t.co/RKJNbQ78Vq
131,@SassyFNP ALLLLL of the cops' parents raised them to be hair trigger racists child murderers?! Or is the easier ans… https://t.co/HBX41lb0bn
132,"@windycitygirl91 @DeeBaby7000 @hasanthehun @corybarlog Kelly, the history of police brutality against the black com… https://t.co/krNgw44TDQ"
133,@crtrlndn police brutality is over.
134,@JoeMill73489060 @MisterResiste12 @VallejoPd The whole department is a violent mess. They were featured in a long a… https://t.co/je2vdmHRmq
135,Creators of Oscar-Nominated Police Brutality Short ‘Two Distant Strangers’ on Its Tragic Timeliness https://t.co/jyNYooTHZA
136,"@AndroidCarlisle You're grasping at straws again. 

As a #POTUS candidate, #Trump became a more visible player enab… https://t.co/jpNFcYX7eh"
137,@GhastlyAether2 @mmpadellan Well that depends on your definition of police brutality and injustice. There are some… https://t.co/Ralhpx43oW
138,"@fatchancemate Honour and Respect!
But it is going to take more than peaceful marches to win this WAR.
They ignore… https://t.co/fL7oEA4CIv"
139,"@USinNigeria Boko Haram is fake news!
Fulani herdsmen is fake news!
Banditry is fake news!
The US @FBI placing a mi… https://t.co/iFxLzDCcHq"
140,@blkoutcoalition @Bakari_Sellers No justification for police brutality should be the focus
141,@TomSweeneyINC They are not lying about police Brutality but it's not about race and few people actually care about race
142,#JusticeForLindaniMyeni @EFFSouthAfrica  we must go burn US embassies around South Africa until the US government g… https://t.co/oA9y1EnW1S
143,@HLMongoose Seems like in America those are our 2 options. Lockdown with no human contact or mass shootings coupled with police brutality
144,"Police brutality in Argentina, against peaceful protesters who won't obey tyrant President Fernandez imposing uncon… https://t.co/zVIGg7oIAv"
145,It is easier to imagine the end of the world than to imagine a reality without police brutality.
146,"Guys what do you think of this BLM sonic the hedgehog MEP
cw police brutality and racism im not kidding guys https://t.co/9aAaHWbbAB"
147,"So now police brutality protestors here in MN have to deal with multiple local police departments, and now the Ohio… https://t.co/HLPAwbM9UG"
148,"@Winter @xeni Yes, every time I see it, I think, ""Oh, there's someone flying the ""I ❤️ police brutality, particular… https://t.co/hqF4WkNU25"
149,"@JenOBrian1 @glowlikeleroy You’re right... what does it say about America that a city being overrun by Latin Kings,… https://t.co/6ftfe4grx9"
150,@BlackKnight10k @TaritaC Somehow it never dawns on the 2A crowd that if some police officers would do this to an in… https://t.co/8ELC8OmIW7
151,"@ASEAN @ASEAN Look at the faces of thousands of innocent civilians displaced due to SAC terrorists, they lost their… https://t.co/ynbt57nnQL"
152,"@AF_Groyper_ @can1950s @NickJFuentes Too much white nationalist propaganda for you

Fact Racial profiling is real -… https://t.co/qWBq9D9Kgk"
153,"@IlhanMN @GovTimWalz @MayorFrey When people are protesting police brutality and police militarization, who ACTUALLY… https://t.co/0JYh3p3N0p"
154,"@PGTorontoGuy @thejasonmarino @TheCovidKid3 @jd84722 @FoxNews That’s not how it works rofl. 

By this logic, one in… https://t.co/nahFS0XiPL"
155,"Yooooo I woke up with so many bruises and a scraped knee, police brutality 😂"
156,"Too often, we focus on the pain of the individual knuckle hitting us, we miss that it's the brutal force of an enti… https://t.co/tYU9pc6irp"
157,I will continue to tweet about cop on community violence and police brutality until I'm dead #DisarmThePolice… https://t.co/Vr0h1JzTgv
158,"Richard Wright’s novel of police brutality: The most relevant book of 2021 was written 80 years ago, writes… https://t.co/UcIqMwRKx9"
159,@sbordelon48 @roscoe_biggers @HunterSams11 @MZHemingway Supporting Trump and MAGA/America First makes you less of a… https://t.co/Vzd0X8nRe3
160,@ConsciousPolit1 @twincities83 @W_R_Emory I don't understand how destroying small businesses will help stop police… https://t.co/ywuFsZ6vnV
161,"// police brutality, Black death https://t.co/vrcniIDHfE"
162,"@janiceforsyth4 I mean, there have been 4 horrible cases of publicized police brutality in just the last 2 weeks, a… https://t.co/cmTyyIKtVi"
163,The Blue Wall of Silence Is Starting to Crack https://t.co/HYy6JzSw75
164,playing genshin regardless of whether or not youre buying anything still gives mihoyo money 😦 who would have guesse… https://t.co/55V7gOPVyy
165,"See Drumline was a great black movie that didn’t involve slavery, black hardship, or police brutality. https://t.co/WactT4Tx3O"
166,"SAY HIS NAME #AdamToledo  

He was 13 with a bright future ahead of him and it was taken away by police brutality f… https://t.co/yPn6Eter7J"
167,Yesterday in Portland a march for victims of police brutality was interrupted when police killed someone and sparke… https://t.co/rS8D5ml9DT
168,That video of that cop flipping that black man is ridiculous. Honestly I’m tired of seeing police brutality . It’s… https://t.co/6SnPMMsfmF
169,"Oh look, MORE police brutality.  No surprise there https://t.co/hig68s3V1x"
170,"Fri May 29 2020 San Jose, California - Police shoot a projectile at a protester WATCH: https://t.co/hdiR4o1WCE… https://t.co/XSHoBNCxsJ"
171,@LolOverruled @andersoncooper He’s running full cover for the status quo. Socialism for the rich &amp; police brutality for the poors.
172,Adam Toledo was murdered because he had brown skin in a relatively poor Chicago Latino neighborhood. This is how th… https://t.co/Ej3oTW7Hmk
173,@DebohBrown @Jewel7611Lerner @AttorneyCrump There is nothing broken in the police system. It is working exactly as… https://t.co/1u6c5lu5dV
174,@TooFab Speak out for police brutality nobody cares about what you wear
175,"Adam Toledo....just the latest THUG that the Liberal Media have enshrined as an ""innocent victim"" of ""Police Brutality"""
176,The constant bombardment of negative news and horrific scenes of police brutality strikes a core deep within us all.
177,"@aaaaronk hospitalized, but still alive. they could’ve put an end to it in a way that everyone came out of the situ… https://t.co/5Qqp3Wb9wI"
178,"@LegalAidNYC @MollyGriffard So, who says brutality doesn't pay? Use an illegal chokehold and NYPD gives you a pensi… https://t.co/xjHNqptcD9"
179,POLICE BRUTALITY IS NOT A PARTY ISSUE YES IM FUCKING SCREAMING
180,"tw // police brutality

i can’t anymore. it’s numbing to see n hear police shootings. we need to abolish the police… https://t.co/yox1TNel5Z"
181,@coreybking It's all too much. The loop tape keeps running. I became a journalist after being the lead witness in a… https://t.co/7Av1iS6oEB
182,"@RexChapman Dirty cops deserve triple the time civilians do, for the same crimes.  But even Serling says “a motive… https://t.co/6FgoSNAa03"
183,"// I’m so sick of my parents taking about police brutality and brushing it off as it’s a joke, it’s fucking real an… https://t.co/ARxDEnZV5e"
184,"Do you not like TFATWS because its not written well? Or do you not like it because it touches on white supremacy, r… https://t.co/IhHLQNTqOC"
185,@johnpavlovitz This is an example of police officers bouncing from one police department to the next after complain… https://t.co/ZqebJzrapu
186,"@rockinwprogress @Andreea_Ferris @nypost Well, they aren't victims without officers, are they? If officers are no m… https://t.co/N3GoQ1i7xb"
187,"@cheymalia One of the cops is still hospitalized, not at home. Imagine if they didn’t put an end to it. Now what if… https://t.co/mJ0jJtJzI3"
188,"@Yankee_Ram @AP Police brutality is pseudo. Out of some 10 million arrests/year there's about 1,000 deaths. That's… https://t.co/SVeLyDzfAV"
189,"The Oduduwa nation held a rally today, thank God I didn't hear police brutality. Be it @Ipob or Igbos, python will… https://t.co/l0htJG63WK"
190,@ianinamerica @acarts13 @comrade_eagle @TheNels @anthonycwalker No it’s like blaming police brutality on a few bad apples.
191,police brutality = done for
192,This is the most passionate Meghan has been about other people. Which is interesting given the fact of how she's be… https://t.co/rqGkarnsro
193,"@aikey @Aishath_Iyadh @PoliceMv @hrcmv Plx... Police brutality is ancient in this country
Goes back to the days of… https://t.co/DCKa0ljQpg"
194,@RexChapman The police brutality against kids protesting in the 60s was notable and seemed to lead to reform (along… https://t.co/jwuzQRvUQD
195,"@DebraBailey @Popehat @BakaWaifuOnTap @NaveedAJamali @andybrwn They aren't making fun of the situation, they're mak… https://t.co/lOjJYSSzTH"
196,😂🤣😂 Congresswoman from IL is rich.  White.  Entitled.  Privileged.  Ranting about the history of police brutality i… https://t.co/aPDOVJjFaA
197,Rod Serling didn't fuck with police brutality in his day. https://t.co/gPuqOGAKTj
198,Did anyone consider how terrible all of this would look with the amount of police brutality that's been going on?… https://t.co/n3E3CYwcRQ
199,"@SolomonYue @GordonGChang China is no threat to anyone. America wages countless wars justified with lies, like WMD.… https://t.co/4d2dTpj4rF"
200,"Minnesotans, I know things suck right now, especially for black people and survivors. For any and all Minnesotans a… https://t.co/h0ezxpjHQ1"
201,Biden needs to focus on what we are contending with with police brutality and racism stoked by Trump. He’s a fool f… https://t.co/cuCqketD2i
202,"🚨Police brutality &amp; misconduct requires DOJ and federal action.

Nothing else will fix this. 
#PoliceReformNow… https://t.co/2d1e8vytmZ"
203,"🚨Police brutality &amp; misconduct requires DOJ and federal action.

Nothing else will fix this. 
#PoliceReformNow… https://t.co/ZlQOGZIEg7"
204,"Police brutality in Hawai’i is often overlooked because the population here is racially diverse, the logic being “w… https://t.co/jlOQX8dCEc"
205,"tw // police brutality , black death
-
-
-
Hawai’i police k!lled Lindani Myeni, an unarmed black man on April 15, 2… https://t.co/p25Og6HW6x"
206,@Jersey_Drew @ZacharySeals1 @caveman626 @KC_Conan @ShannonSharpe You think everything is a game. FOCUS on video. Br… https://t.co/8ST8Z0SXKS
207,"Good news, I was informed by some rando on Twitter that all the police brutality is just leftist propaganda, so the… https://t.co/gaycQ6eHXZ"
208,@Omnichromatid The guy who said Enter supported police brutality
209,This really just shows how different this country is for many people. If you’ve been watching the news and protests… https://t.co/CbMtk1rDgK
210,"@wcbuecker Is white America ok for Black America to pose with their firearms?

Because back in the 60s the white es… https://t.co/OtHsp9FJaN"
211,Stand together to fight police brutality and racism. https://t.co/nchabv5sNe
212,this is somehow the worst way to bring attention to police brutality https://t.co/zZLCBci6CD
213,@kitsunesweet2wa @RetroNuva10 @MissRinAelia So even though police brutality isn't really OUR thing as a lived exper… https://t.co/utmBRFAzKA
214,Where is police brutality Twitter? https://t.co/iXfpRr3wSb
215,"Watching action movies from the 90's,00's and since never a case of police brutality beside training day and crash… https://t.co/2avmrGrn4d"
216,"I don’t understand why media can’t simply say it is a RIOT, while still tying it to police brutality. https://t.co/cS2dix2Eai"
217,#UIUC YDSA is proud to march in solidarity against police brutality and murder with IYAN-CU. (IG:… https://t.co/gyNnZI2Sht
218,"@Maeillory @BWiSfull @verygaytrans @IlhanMN @GovTimWalz @MayorFrey Interesting argument though, police brutality is… https://t.co/JJw0NuZxff"
219,"tw // murder , police brutality https://t.co/6loGNvB0mE"
220,@TheDemocrats Nope...it’s not legislation...it’s the majority in this country self destructing because they don’t h… https://t.co/bLXG0Rq529
221,"One MN Together held a peaceful, family friendly, Black Lives Matter demonstration &amp; food/ supply drive in Chanhass… https://t.co/MhirxWIRAj"
222,"@kitsunesweet2wa @RetroNuva10 @MissRinAelia You're missing the mark, just a bit.

The issue isn't the subject, it's… https://t.co/xc5VHMEmE3"
223,just casually terrified of what sort of brutality my friends out tonight will face at the hands of law enforcement… https://t.co/PvTS57XGpw
224,"// police brutality, death, guns, racism, anti blackness https://t.co/3liqfKZwhp"
225,"@CarolFrancoi @mmpadellan It's crazy 🤪 with what has been going on these past few weeks, heck years with all the ma… https://t.co/t0jxDDimOp"
226,Pair this with a 200 year history of officers' imaginations justifying the killing of people of color and it's easy… https://t.co/SrlRcovcWt
227,"Uproars, anarchy, civil unrest etc. people are going to the farthest extent galvanize and organize protest to count… https://t.co/yAX1KHMC9H"
228,Protester ran off @CNN 'crew' cuz all they do is SKEW &amp; MAYbe cover protesters~instead of 'what the protest is abou… https://t.co/UddEoDx19p
229,Funny how you never see @CNN or @msnbc on the 'front' lines~'facing the cops' OR their brutality.WHY? cuz they're n… https://t.co/CiCOC6xHZO
230,police brutality is now over 🙏🏽 https://t.co/WOsYdGJopq
231,@POTUS DO SOMETHING ABOUT POLICE BRUTALITY. END QUALIFIED IMMUNITY NATIONWIDE. WE ARE BLEEDING ON THE STREETS OF MN.
232,"Between these mass shootings, police brutality, &amp; police murders - what the hell, as Americans, are we going to do?… https://t.co/85kPOD4w6O"
233,"@IlhanMN @GovTimWalz @MayorFrey Maybe instead of paying for operation safety net, these two could just fix the prob… https://t.co/MnG8K8UsYD"
234,"tw / police brutality, death https://t.co/PExKSTrIhU"
235,"@Corbinburnsin @SER1897 And even the ""defund"" rationale that some people insist is the clear and logical meaning (i… https://t.co/DZm7o29SFu"
236,We’re starting the show off by talking about the rise in police brutality happening across the border. With the rec… https://t.co/epWzshvzci
237,When is this police brutality shit going to stop?  #BlackLivesMatter
238,"@KPRC2 This is also a pandemic. The constant slain of our colored people by police brutality is a pandemic!!!! 
We must resolve at once!"
239,"@Mortefin1 Yes it will. You know how to stop police brutality? Police rapes. Police murders. 

Abolish the police.… https://t.co/C5q0G5lXpE"
240,These past few weeks have been difficult for me as a stepmother to a young Black man and a mom of a teenage boy. I… https://t.co/2y7OtuUXNS
241,@jnickell22 @NYPDnews In 2020 there were 457 Whites shot and killed in altercations with police. Followed by 241 Bl… https://t.co/aeoKtbikhi
242,@DoLesbiansTip @davidmweissman @GOPLeader @Kaepernick7 He's famous for bringing the issue of POLICE BRUTALITY to sp… https://t.co/d5WshofypC
